                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1329,                 1.5382,                 1.3995,                0.46308,                0.51172,                0.45167,                 0.2941,                 1.2423,                 1.6706,                 1.5177,                0.00714,                0.00714,                0.00714
                     54,                 1.1283,                 1.5219,                 1.3955,                0.46443,                 0.5091,                0.45158,                0.29366,                 1.2424,                 1.6718,                 1.5178,               0.007085,               0.007085,               0.007085
                     55,                 1.1268,                 1.5171,                 1.3958,                0.46253,                0.51113,                0.45099,                0.29357,                 1.2427,                 1.6739,                 1.5179,                0.00703,                0.00703,                0.00703
                     56,                 1.1199,                 1.5071,                 1.3904,                0.46102,                0.51122,                0.45076,                0.29355,                 1.2426,                 1.6756,                 1.5178,               0.006975,               0.006975,               0.006975
                     57,                 1.1242,                 1.5044,                 1.3889,                0.46116,                 0.5123,                0.45042,                0.29336,                 1.2429,                 1.6772,                 1.5179,                0.00692,                0.00692,                0.00692
                     58,                 1.1206,                 1.4979,                 1.3869,                0.45969,                0.51284,                0.44963,                0.29285,                 1.2435,                 1.6795,                 1.5181,               0.006865,               0.006865,               0.006865
                     59,                  1.119,                 1.4859,                 1.3894,                0.45846,                0.51229,                0.44895,                0.29244,                 1.2442,                 1.6821,                 1.5187,                0.00681,                0.00681,                0.00681
                     60,                 1.1145,                 1.4806,                 1.3863,                 0.4584,                0.51284,                0.44874,                0.29195,                 1.2447,                 1.6842,                 1.5193,               0.006755,               0.006755,               0.006755
                     61,                 1.1138,                 1.4734,                 1.3814,                 0.4579,                0.51239,                0.44831,                0.29168,                 1.2455,                 1.6858,                 1.5198,                 0.0067,                 0.0067,                 0.0067
                     62,                 1.1107,                 1.4651,                 1.3772,                0.45813,                0.51152,                0.44757,                0.29115,                 1.2464,                 1.6878,                 1.5203,               0.006645,               0.006645,               0.006645
                     63,                 1.1104,                 1.4577,                 1.3743,                0.45709,                0.51249,                0.44703,                0.29085,                 1.2474,                 1.6904,                 1.5208,                0.00659,                0.00659,                0.00659
                     64,                 1.1055,                 1.4528,                 1.3742,                0.45498,                0.51248,                0.44645,                0.29062,                 1.2486,                 1.6928,                 1.5214,               0.006535,               0.006535,               0.006535
                     65,                 1.1008,                 1.4389,                 1.3682,                0.45532,                 0.5101,                0.44598,                 0.2902,                 1.2495,                 1.6947,                 1.5223,                0.00648,                0.00648,                0.00648
